ID,Favorite Number
1,713
2,622
3,456
4,141
5,280
6,489
7,887
8,824
9,718
10,264
11,3
12,348
13,70
14,932
15,662
16,903
17,931
18,56
19,883
20,570
21,599
22,960
23,68
24,799
25,831
26,677
27,585
28,910
29,418
30,2
31,514
32,523
33,96
34,583
35,454
36,896
37,391
38,839
39,532
40,475
41,113
42,288
43,390
44,907
45,289
46,78
47,494
48,300
49,796
50,924
51,177
52,445
53,845
54,672
55,368
56,58
57,137
58,50
59,133
60,483
61,305
62,49
63,922
64,888
65,893
66,298
67,869
68,487
69,245
70,558
71,488
72,28
73,883
74,798
75,876
76,788
77,893
78,838
79,118
80,245
81,382
82,331
83,650
84,437
85,964
86,698
87,60
88,934
89,708
90,279
91,781
92,899
93,593
94,358
95,858
96,658
97,404
98,586
99,897
100,910
101,677
102,840
103,557
104,88
105,344
106,783
107,0
108,545
109,307
110,382
111,312
112,470
113,124
114,785
115,186
116,664
117,639
118,674
119,179
120,558
121,724
122,624
123,86
124,762
125,607
126,711
127,727
128,638
129,113
130,963
131,230
132,665
133,380
134,658
135,0
136,73
137,516
138,262
139,815
140,766
141,185
142,803
143,489
144,809
145,737
146,435
147,206
148,959
149,58
150,667
151,578
152,958
153,805
154,762
155,187
156,587
157,678
158,262
159,933
160,38
161,736
162,522
163,481
164,451
165,158
166,472
167,572
168,509
169,164
170,183
171,52
172,496
173,59
174,681
175,605
176,995
177,531
178,868
179,321
180,273
181,291
182,979
183,150
184,715
185,556
186,280
187,104
188,259
189,67
190,544
191,280
192,455
193,661
194,339
195,45
196,521
197,822
198,638
199,911
200,903
201,834
202,575
203,595
204,595
205,812
206,332
207,799
208,673
209,780
210,465
211,751
212,368
213,99
214,140
215,712
216,511
217,867
218,134
219,786
220,334
221,610
222,353
223,435
224,374
225,13
226,937
227,62
228,678
229,384
230,152
231,563
232,27
233,995
234,457
235,912
236,435
237,129
238,320
239,733
240,94
241,698
242,421
243,156
244,809
245,432
246,683
247,519
248,720
249,623
250,281
251,380
252,55
253,198
254,277
255,356
256,222
257,626
258,24
259,337
260,47
261,593
262,610
263,589
264,845
265,59
266,362
267,31
268,587
269,405
270,873
271,73
272,389
273,56
274,844
275,821
276,679
277,590
278,517
279,69
280,657
281,277
282,437
283,314
284,459
285,563
286,0
287,645
288,251
289,185
290,60
291,185
292,136
293,709
294,279
295,233
296,82
297,23
298,669
299,421
300,552
301,805
302,339
303,904
304,173
305,810
306,59
307,549
308,975
309,233
310,492
311,840
312,686
313,471
314,197
315,249
316,78
317,22
318,469
319,818
320,433
321,30
322,690
323,242
324,260
325,567
326,501
327,570
328,492
329,361
330,846
331,229
332,605
333,964
334,546
335,229
336,711
337,27
338,629
339,24
340,453
341,251
342,397
343,322
344,403
345,722
346,101
347,891
348,195
349,987
350,674
351,689
352,252
353,126
354,638
355,368
356,672
357,347
358,254
359,694
360,129
361,527
362,210
363,20
364,503
365,247
366,425
367,286
368,136
369,169
370,407
371,123
372,853
373,539
374,844
375,623
376,796
377,667
378,241
379,278
380,407
381,381
382,930
383,932
384,849
385,235
386,482
387,992
388,992
389,518
390,944
391,591
392,900
393,179
394,421
395,164
396,770
397,297
398,966
399,61
400,877
401,967
402,428
403,41
404,338
405,619
406,525
407,141
408,950
409,660
410,574
411,622
412,678
413,769
414,648
415,200
416,186
417,482
418,13
419,661
420,456
421,244
422,757
423,602
424,825
425,75
426,481
427,899
428,801
429,383
430,187
431,623
432,64
433,249
434,296
435,726
436,904
437,823
438,363
439,30
440,75
441,427
442,480
443,325
444,531
445,498
446,689
447,881
448,813
449,248
450,272
451,331
452,947
453,912
454,538
455,939
456,940
457,337
458,900
459,52
460,594
461,557
462,93
463,600
464,927
465,939
466,120
467,126
468,357
469,388
470,684
471,751
472,329
473,394
474,561
475,457
476,19
477,501
478,714
479,51
480,277
481,503
482,961
483,455
484,13
485,367
486,587
487,781
488,953
489,387
490,2
491,124
492,414
493,142
494,113
495,523
496,45
497,425
498,823
499,94
500,251
501,389
502,571
503,580
504,715
505,95
506,752
507,501
508,770
509,405
510,301
511,665
512,614
513,653
514,644
515,324
516,612
517,836
518,324
519,365
520,29
521,659
522,270
523,166
524,508
525,742
526,937
527,566
528,54
529,863
530,362
531,641
532,814
533,895
534,819
535,505
536,365
537,125
538,62
539,918
540,235
541,359
542,591
543,353
544,732
545,124
546,660
547,102
548,426
549,692
550,825
551,424
552,786
553,111
554,972
555,606
556,390
557,874
558,666
559,603
560,863
561,849
562,724
563,131
564,668
565,310
566,393
567,129
568,667
569,703
570,641
571,110
572,651
573,222
574,580
575,93
576,388
577,154
578,733
579,649
580,787
581,258
582,870
583,319
584,246
585,442
586,225
587,560
588,120
589,174
590,816
591,615
592,146
593,675
594,425
595,785
596,927
597,341
598,698
599,498
600,306
601,851
602,549
603,779
604,29
605,303
606,824
607,849
608,0
609,153
610,396
611,610
612,893
613,267
614,87
615,241
616,300
617,343
618,96
619,641
620,984
621,525
622,942
623,949
624,173
625,361
626,902
627,102
628,276
629,49
630,56
631,758
632,204
633,924
634,877
635,977
636,271
637,573
638,78
639,91
640,358
641,919
642,164
643,532
644,138
645,490
646,919
647,680
648,0
649,300
650,629
651,884
652,272
653,764
654,706
655,203
656,314
657,159
658,878
659,838
660,142
661,629
662,376
663,674
664,847
665,541
666,421
667,26
668,954
669,781
670,68
671,853
672,161
673,886
674,657
675,843
676,750
677,484
678,916
679,842
680,190
681,988
682,77
683,413
684,701
685,358
686,15
687,739
688,311
689,537
690,390
691,381
692,10
693,165
694,470
695,161
696,630
697,804
698,937
699,316
700,437
701,338
702,709
703,45
704,453
705,652
706,880
707,564
708,135
709,861
710,896
711,409
712,971
713,467
714,940
715,224
716,410
717,959
718,920
719,122
720,503
721,339
722,601
723,72
724,539
725,879
726,166
727,672
728,645
729,268
730,62
731,954
732,666
733,401
734,756
735,756
736,358
737,524
738,316
739,282
740,511
741,912
742,921
743,353
744,673
745,564
746,620
747,58
748,356
749,821
750,523
751,468
752,239
753,778
754,996
755,178
756,951
757,284
758,948
759,12
760,312
761,897
762,816
763,241
764,558
765,782
766,743
767,761
768,832
769,113
770,258
771,809
772,674
773,113
774,193
775,512
776,782
777,813
778,836
779,686
780,583
781,601
782,570
783,133
784,9
785,488
786,585
787,983
788,88
789,147
790,331
791,647
792,219
793,495
794,122
795,651
796,612
797,756
798,616
799,791
800,72
801,257
802,301
803,397
804,54
805,389
806,877
807,384
808,85
809,225
810,341
811,345
812,590
813,338
814,954
815,912
816,227
817,826
818,31
819,348
820,746
821,805
822,65
823,989
824,627
825,817
826,800
827,398
828,850
829,591
830,500
831,689
832,216
833,607
834,297
835,43
836,68
837,848
838,89
839,870
840,994
841,620
842,765
843,821
844,230
845,337
846,832
847,914
848,151
849,636
850,183
851,859
852,867
853,593
854,585
855,692
856,826
857,333
858,39
859,686
860,465
861,28
862,807
863,124
864,374
865,863
866,603
867,294
868,899
869,37
870,449
871,358
872,41
873,90
874,999
875,504
876,699
877,997
878,950
879,719
880,627
881,739
882,896
883,106
884,636
885,457
886,254
887,558
888,758
889,846
890,522
891,709
892,568
893,831
894,525
895,172
896,349
897,493
898,431
899,146
900,317
901,801
902,161
903,972
904,487
905,423
906,456
907,621
908,352
909,248
910,881
911,395
912,618
913,57
914,83
915,597
916,740
917,489
918,605
919,896
920,298
921,120
922,909
923,593
924,929
925,291
926,914
927,629
928,265
929,204
930,663
931,851
932,815
933,527
934,413
935,707
936,214
937,551
938,883
939,145
940,26
941,222
942,53
943,489
944,792
945,467
946,926
947,262
948,293
949,126
950,139
951,118
952,874
953,15
954,453
955,773
956,281
957,101
958,562
959,322
960,502
961,738
962,369
963,758
964,685
965,403
966,489
967,24
968,276
969,70
970,637
971,886
972,476
973,492
974,981
975,359
976,370
977,62
978,620
979,91
980,516
981,915
982,66
983,75
984,738
985,439
986,374
987,205
988,51
989,528
990,961
991,320
992,217
993,114
994,665
995,302
996,914
997,323
998,256
999,735
1000,132
