x , y
1 , 15.2
2 , 15.2
3 , 15.2
4 , 15.2
5 , 15.2
6 , 64.84
7 , 64.84
8 , 64.84
9 , 64.84
10 , 64.84
11 , 175.368
12 , 175.368
13 , 175.368
14 , 175.368
15 , 175.368
16 , 331.2736
17 , 331.2736
18 , 331.2736
19 , 331.2736
20 , 331.2736
21 , 580.45472
22 , 580.45472
23 , 580.45472
24 , 580.45472
25 , 580.45472
26 , 900.690944
27 , 900.690944
28 , 900.690944
29 , 900.690944
30 , 900.690944
31 , 1301.9381888
32 , 1301.9381888
33 , 1301.9381888
34 , 1301.9381888
35 , 1301.9381888
36 , 1719.3876377599997
37 , 1719.3876377599997
38 , 1719.3876377599997
39 , 1719.3876377599997
40 , 1719.3876377599997
41 , 2219.277527552
42 , 2219.277527552
43 , 2219.277527552
44 , 2219.277527552
45 , 2219.277527552
46 , 2750.0555055104
47 , 2750.0555055104
48 , 2750.0555055104
49 , 2750.0555055104
50 , 2750.0555055104
